sample_number,geom_id,place,name,state,population,proportion,latitude,longitude,nearest city,car travel time from nearest city (min),overnight stay required
1,8886cca558092a5bf45f61ccf17d5f50805c2f28,village,Makouassa,Zinder,1596.48733,0.000920093,13.26886709,8.425564556,Zinder City,118,True
2,d73b5c6be958c0e73c79db301ba99da0452f086e,village,Dan Alia; Dan Déguéji,Maradi,1100.774595,0.000634402,13.41601662,7.03358883,Maradi City,29,
3,379d4b615dae0fdfd00e8dc08b51574dcb7dabc3,town; village,Safo; Tchi-kaji; Tsaounaoua,Maradi,5996.699451,0.003456036,13.40670916,7.121897826,Maradi City,25,
4,2b7cd8d3aca045c69d68e1bf6953a71f5c43cecc,village; town,Soura Garin Daouré; Soura Oubandawaki; Tibiri; K'aouk'ay,Maradi,38987.97598,0.02246967,13.56383709,7.062816457,Maradi City,16,
5,d9994ad480430101ccd654aab3d9bc269d70c77e,village,Tagáza; Dan Gôbirâwâ,Maradi,2847.558719,0.001641114,13.55777235,7.286425526,Maradi City,33,
6,947361136c8163ef7e7935928d9cb62003a55d52,village,Chadakori,Maradi,7090.497774,0.004086418,13.67535868,6.987991715,Maradi City,34,
7,0a456a445772ab6ac509bd5340ceccb7c8dd89e1,village,Dan Diba,Maradi,1164.615397,0.000671195,13.85863418,7.596772211,Maradi City,78,
8,02fa94050350c83cf2c807c33a0f70e8b65c94f3,NA,NA,Maradi,1625.791409,0.000936981,13.91925255,7.519481094,Maradi City,103,True
9,805d287b468fdbad2396d873fe59b077ad5d5384,village,Folaka,Tahoua,1365.861648,0.000787178,14.58918417,5.406324897,Badaguichiri City,16,
10,def103b59a8d554474c1f849534833ddd1ba1b9d,village,Asarou,Tahoua,2566.563384,0.00147917,14.56351315,6.088530246,Badaguichiri City,176,True
11,545f02aa24eb462528ebeddc0c000b9db3cde178,village,Dagarka,Tahoua,4072.227737,0.002346919,13.80273248,5.221789439,Badaguichiri City,107,True
12,956219a17220c7cdaa593edbeb4f7d769ed198af,NA,NA,Tahoua,2039.336109,0.001175317,13.9089601,5.223558859,Badaguichiri City,132,True
13,e97d54a6a1426aa58f94e1cfa77f7c04b48e46ea,village,Satourou,Tahoua,8012.582984,0.004617836,13.98803355,5.253100873,Badaguichiri City,111,True
14,e5392ae539a9701ce7fa71e57d33e306f861e5b5,NA,NA,Zinder,998.9411764,0.000575713,13.20054654,8.913000947,Zinder City,79,
15,e813d8c1b9a5b7fb2a3dc39dde6440fc96f97714,NA,NA,Zinder,1057.902204,0.000609693,13.5023734,8.537807871,Zinder City,107,True
16,750f5df3cd3fbf05c5e1f5a4635cea396759b014,village,Katrigé,Zinder,1538.829209,0.000886863,13.39303045,9.256704705,Zinder City,127,True
17,1492ad497a81d5b96ed977e798fb23d3b5d170fe,village,Kourémi,Zinder,1309.07287,0.000754449,13.45989482,9.143707004,Zinder City,inaccessible on maps,True
18,81f198017574d215a930dda8c3651db200d3d92e,village,In-cha Roua,Zinder,1714.582607,0.000988154,13.65542057,8.92718546,Zinder City,42,
19,57faa2d274b928ece46252cd7c6cbe8dd30fa631,village,Aouloumal; Haitawa,Tahoua,7306.271778,0.004210773,14.22698199,6.028237122,Badaguichiri City,162,True
20,ab060d69b14ba77105a24230cb95799129766a5d,village,Kwinakou,Tahoua,1834.176547,0.001057078,14.35422968,6.176130827,Badaguichiri City,181,True
21,8bebf198cbc8ab310f9a71183facea964e02ae07,village,Kagoudékou,Zinder,993.3743134,0.000572505,14.05338838,9.289394537,Zinder City,90,
