sample number,geom_id,place,name,state,population,proportion,latitude,longitude,nearest city,car travel time from nearest city (min),overnight stay required,notes
1,8210dd30fb983e7e95d06229c76a478af460aea2,village,Konkomawa,Tahoua,1070.101625,0.000533913,13.78380578,6.061125065,Badaguichiri City,inaccessible,True,
2,b5f5562e462e2a618663273aaed432d734289d80,city; village,Madarounfa; Katchinawa secteur 2; Secteur Limantchi 4; Kahin sarki secteur 1,Maradi,9897.409849,0.004938178,13.30480594,7.160408201,Maradi City,40,,
3,379d4b615dae0fdfd00e8dc08b51574dcb7dabc3,town; village,Safo; Tchi-kaji; Tsaounaoua,Maradi,5996.699451,0.002991971,13.40670916,7.121897826,Maradi City,25,,
4,3e337fddd6e7cfc67ac78750fdf717e402342050,village,Adérawa,Maradi,2255.05068,0.001125127,13.44355698,7.126687444,Maradi City,16,,
5,b4062867f7f446206f39758b6af3a604c8b1481d,village,Guidan Sori,Maradi,2970.850525,0.001482265,13.53761307,6.877880327,Maradi City,56,,
6,6939dc0ee45dcfafeda7b02afa12f9ee91e26a56,village,Guidan Meydi,Maradi,1291.64449,0.000644448,13.54026837,6.846505932,Maradi City,56,,
7,1fe92f47e56544f3a38e76d16497c0202d23bb44,village,Guidan Magâjî Arjito; Malamawa Saboua,Maradi,2806.970638,0.0014005,13.53031577,7.358572525,Maradi City,31,,
8,768de3427c50e1010ac2846cf7d52162365900ee,village,Garin Magâjî,Maradi,4252.254799,0.002121605,13.55860499,7.247569581,Maradi City,27,,
9,3add2cd6b01415ae11cca37adb78250e22b651c1,village,Jimbidawa,Maradi,1071.653304,0.000534687,13.56735855,7.868659445,Maradi City,95,True,
10,c2aad7b7f99917a89b19452de8b31af51ae8849a,settlement,Near Dan Goudao,Zinder,898.8816786,0.000448485,13.6024515,8.38826715,Zinder City,102,True,
11,7a686e98741617f1c7275305d39aa3997484d0e8,city,Takiéta,Zinder,5767.465284,0.002877598,13.68047066,8.530575523,Zinder City,56,,
12,bf81d97d7e848f8a0176bb856d6d8071d2e7b2cd,village,Farou Sami,Maradi,949.6462965,0.000473813,13.82465575,7.73086914,Maradi City,120,True,
13,24d70dd21c2324cec33695a476fd31cb344a73eb,village,Guidan Aska,Maradi,1388.852748,0.000692949,13.69825005,6.896892398,Maradi City,46,,
14,c0d18bc07bf79628c8e5c2771da00d8b9b5078fc,settlement,Near SamaŽ,Tahoua,872.7691774,0.000435456,14.12403515,6.332204978,Badaguichiri City,inaccessible,True,
15,44ac8a27c13264dc629d2975516974a9126cc1a4,village,Gidan Karo; Gidan Daouda,Tahoua,7808.145844,0.003895768,14.37201887,5.28297708,Badaguichiri City,30,,
16,fe1d8ef1298d053ba498c1010bf8144aa300a86c,settlement,North of Nadara,Tahoua,991.6929178,0.000494792,14.52278788,5.281250228,Badaguichiri City,18,,
17,b8e8036d1112314afcdd3b197f5d17ed4e15257d,village,Ala,Tahoua,2613.458632,0.00130395,14.53114628,5.493098701,Badaguichiri City,25,,
18,6a3f303ec3724320917742df3eae68cd97366e71,village,Warawara,Tahoua,1317.701948,0.000657449,14.54509065,5.369794936,Badaguichiri City,6,,
19,eba2659990b7c072b34381f63991287591a66325,city,Birni N'Konni,Tahoua,80789.30243,0.04030872,13.79264005,5.255816982,Badaguichiri City,105,True,
20,545f02aa24eb462528ebeddc0c000b9db3cde178,village,Dagarka,Tahoua,4072.227737,0.002031783,13.80273248,5.221789439,Badaguichiri City,107,True,
21,079f1e05b571e3d4da22008b4d85d1a0c4d37eef,village,Tinkim,Zinder,3984.270037,0.001987897,12.88106474,8.96560336,Zinder City,102,True,
22,1cb93693c5cf41a35794d9ffca3342fd4f1694f8,settlement,North of Dan Tchiao,Zinder,1279.189931,0.000638234,12.90356455,9.075890914,Zinder City,125,True,
23,bd044e48ae81fe8ad5696a5725a8750714508a01,village,Bandé Haoussa,Zinder,10497.61397,0.005237641,13.18024845,8.887694372,Zinder City,63,,
24,d6c6e1d4c3e11d7db5e3a87e6f9eff772a9f6cb0,settlement,NE of Kwaya,Zinder,1742.946497,0.000869619,13.12718707,8.656516178,Zinder City,82,,
25,826d934e60d1367a170f4a22d1c5f210750020c6,village,Dan Tchibaou,Zinder,2177.889093,0.001086628,13.17750829,8.538548887,Zinder City,172,True,close to settlement #24
26,99d4e429ed2e1d4837723e29ff0b23182981f2bf,village,Broulé; May Faroû,Maradi,1551.780729,0.00077424,13.52421929,7.964711163,Maradi City,96,True,
27,8f1d858e3e01fde514a8ce0483ac147820fb4f4f,hamlet; village,Garin Kadou; Garin Géré; Tchentchindi; Rougal Hassan Bawada,Zinder,2472.347236,0.001233544,13.75172242,8.999263139,Zinder City,13,,
28,b22431d391a739b1cd880ecb4e73a80db1dcb312,village; hamlet,Guiyayi Tirmini; Chagara; Toumbagou,Zinder,1113.429982,0.000555531,13.83374654,8.861988879,Zinder City,31,,
29,48cdf9b1b854e83d800598897c4f18613393f169,village,Gatchira,Zinder,1507.824194,0.000752308,13.62844093,9.178063079,Zinder City,inaccessible,True,
30,5be4021cd277d2c01594dfc950699570514eb8f8,village,Dama Idi; Bourdi; Wakawa,Tahoua,8354.999642,0.004168613,14.2605029,6.139599683,Badaguichiri City,178,True,
31,a58ec438ab79d594f495b6dcba2bee9d8d9c56b0,settlement,South of Eroupa,Tahoua,5385.038567,0.002686792,14.30289839,6.34611601,Badaguichiri City,inaccessible,True,
32,8d78c42cdbbe64f8b25068120d9a0ce4ea1614be,hamlet; village,Zango Binguirawa; Binguirawa; Binguimawakiaro,Tahoua,5181.990463,0.002585483,14.41545715,6.196308541,Badaguichiri City,196,True,
